District;  Population;;
Innere Stadt;16,409  ;;
Leopoldstadt;103,233  ;;
Landstra?e;89,834  ;;
Wieden;32,745  ;;
Margareten;54,940  ;;
Mariahilf;31,621  ;;
Neubau;32,027  ;;
Josefstadt;25,068  ;;
Alsergrund;43,342  ;;
Favoriten;194,820  ;;
Simmering;97,333  ;;
Meidling;94,179  ;;
Hietzing;53,829  ;;
Penzing;91,578  ;;
Rudolfsheim-F?nfhaus;78,388  ;;
Ottakring;102,580  ;;
Hernals;56,342  ;;
W?hring;50,285  ;;
D?bling;71,596  ;;
Brigittenau;85,796  ;;
Floridsdorf;155,998  ;;
Donaustadt;180,245  ;;
Liesing;98,385  ;;
