District,Population,Latitude,Longitude
Innere Stadt,16409,48.20583251,16.36866519
Leopoldstadt,103233,48.20616584,16.4073317
Landstrasse,89834,48.1911659,16.39083177
Wieden,32745,48.18699925,16.35699857
Mariahilf,31621,48.19049924,16.34316529
Josefstadt,25068,48.20649917,16.3421653
Alsergrund,43342,48.22183245,16.35416525
Favoriten,19482,48.15466605,16.35549858
Simmering,97333,48.174,16.416
Meidling,94179,48.15699937,16.31966539
Hietzing,53829,48.1754993,16.25483231
Penzing,91578,48.2166658,16.24249903
Rudolfsheim-Funfhaus,78388,48.2004992,16.31866539
Ottakring,10258,48.20749917,16.30633211
Hernals,56342,48.22616576,16.27433224
Wahring,50285,48.22649909,16.3088321
Dobling,71596,48.25983229,16.32033205
Brigittenau,85796,48.236667,16.369444
Floridsdorf,155998,48.2833322,16.4073317
Donaustadt,180245,48.21749913,16.47649809
Liesing,98385,48.13599946,16.28399886
